stepIndex,when,type,lane,
159,OnBeat,Laser,2,
163,OnBeat,Laser,0,
164,OnBeat,Laser,0,
165,OnBeat,Bomb,0,
169,OnBeat,Laser,2,
170,OnBeat,Laser,1,
171,OnBeat,Laser,2,
172,OnBeat,Laser,1,
174,OnBeat,Laser,0,
176,OnBeat,Laser,0,
176,OnBeat,Laser,1,
179,OnBeat,Laser,2,
180,OnBeat,Laser,1,
180,OnBeat,Laser,2,
181,OnBeat,Bomb,2,
185,OnBeat,Laser,0,
186,OnBeat,Laser,1,
187,OnBeat,Laser,0,
188,OnBeat,Laser,1,
190,OnBeat,Laser,2,
192,OnBeat,Laser,1,
192,OnBeat,Laser,2,
195,OnBeat,Laser,1,
197,OnBeat,Laser,0,
197,OnBeat,Laser,2,
201,OnBeat,Laser,1,
205,OnBeat,Laser,0,
205,OnBeat,Laser,2,
209,OnBeat,Laser,1,
213,OnBeat,Laser,0,
213,OnBeat,Laser,1,
215,OnBeat,Laser,0,
215,OnBeat,Laser,1,
219,OnBeat,Laser,2,
220,OnBeat,Laser,2,
221,OnBeat,Laser,1,
221,OnBeat,Laser,2,
223,OnBeat,Laser,1,
223,OnBeat,Laser,2,
227,OnBeat,Laser,0,
228,OnBeat,Laser,0,
229,OnBeat,Bomb,2,229
233,OnBeat,Laser,0,231
233,OnBeat,Laser,2,231
235,OnBeat,Laser,1,235
237,OnBeat,Bomb,0,236
241,OnBeat,Laser,0,236
241,OnBeat,Laser,2,237
243,OnBeat,Laser,1,239
245,OnBeat,Bomb,2,239
249,OnBeat,Laser,0,243
249,OnBeat,Laser,1,244
250,OnBeat,Laser,0,244
250,OnBeat,Laser,1,245
251,OnBeat,Laser,0,247
251,OnBeat,Laser,1,247
252,OnBeat,Laser,0,250
252,OnBeat,Laser,1,250
253,OnBeat,Bomb,0,252
257,OnBeat,Laser,1,253
257,OnBeat,Laser,2,255
258,OnBeat,Laser,1,255
258,OnBeat,Laser,2,258
259,OnBeat,Laser,1,258
259,OnBeat,Laser,2,260
260,OnBeat,Laser,1,262
260,OnBeat,Laser,2,264
261,OnBeat,Laser,2,264
263,OnBeat,Laser,1,266
263,OnBeat,Laser,2,268
267,OnBeat,Laser,0,268
268,OnBeat,Laser,0,270
268,OnBeat,Laser,1,272
269,OnBeat,Laser,0,272
271,OnBeat,Laser,0,274
271,OnBeat,Laser,1,276
275,OnBeat,Laser,2,276
276,OnBeat,Laser,1,278
276,OnBeat,Laser,2,278
277,OnBeat,Laser,0,280
279,OnBeat,Laser,0,280
279,OnBeat,Laser,1,282
282,OnBeat,Laser,0,282
282,OnBeat,Laser,2,284
284,OnBeat,Laser,1,284
285,OnBeat,Laser,2,286
287,OnBeat,Laser,1,286
287,OnBeat,Laser,2,288
290,OnBeat,Laser,0,288
290,OnBeat,Laser,2,290
292,OnBeat,Laser,1,290
294,OnBeat,Laser,2,292
296,OnBeat,Laser,1,292
296,OnBeat,Laser,2,
298,OnBeat,Laser,0,
300,OnBeat,Laser,0,
300,OnBeat,Laser,1,
302,OnBeat,Laser,2,
304,OnBeat,Laser,1,
304,OnBeat,Laser,2,
306,OnBeat,Laser,0,
308,OnBeat,Laser,0,
308,OnBeat,Laser,2,
310,OnBeat,Laser,0,
310,OnBeat,Laser,1,
312,OnBeat,Laser,0,
312,OnBeat,Laser,2,
314,OnBeat,Laser,0,
314,OnBeat,Laser,1,
316,OnBeat,Laser,0,
316,OnBeat,Laser,2,
318,OnBeat,Laser,1,
318,OnBeat,Laser,2,
320,OnBeat,Laser,0,
320,OnBeat,Laser,2,
322,OnBeat,Laser,1,
322,OnBeat,Laser,2,
324,OnBeat,Laser,0,
324,OnBeat,Laser,2,
325,OnBeat,Laser,0,
325,OnBeat,Laser,2,
326,OnBeat,Laser,0,
326,OnBeat,Laser,2,
327,OnBeat,Laser,0,
327,OnBeat,Laser,2,
328,OnBeat,Laser,0,
328,OnBeat,Laser,2,
329,OnBeat,Laser,1,
330,OnBeat,Laser,0,
330,OnBeat,Laser,2,
331,OnBeat,Laser,1,
332,OnBeat,Laser,0,
332,OnBeat,Laser,2,
333,OnBeat,Laser,1,
333,OnBeat,Laser,2,
334,OnBeat,Laser,0,
334,OnBeat,Laser,2,
335,OnBeat,Laser,0,
335,OnBeat,Laser,1,
336,OnBeat,Laser,0,
336,OnBeat,Laser,2,
337,OnBeat,Laser,0,
337,OnBeat,Laser,1,
338,OnBeat,Laser,0,
338,OnBeat,Laser,2,
339,OnBeat,Laser,1,
339,OnBeat,Laser,2,
340,OnBeat,Laser,0,
340,OnBeat,Laser,2,
341,OnBeat,Laser,0,
341,OnBeat,Laser,1,
342,OnBeat,Laser,0,
342,OnBeat,Laser,2,
343,OnBeat,Laser,0,
343,OnBeat,Laser,1,
344,OnBeat,Laser,0,
344,OnBeat,Laser,2,
345,OnBeat,Laser,1,
345,OnBeat,Laser,2,
346,OnBeat,Laser,0,
346,OnBeat,Laser,2,
347,OnBeat,Laser,1,
347,OnBeat,Laser,2,
348,OnBeat,Laser,0,
348,OnBeat,Laser,2,
349,OnBeat,Laser,1,
349,OnBeat,Laser,2,
350,OnBeat,Laser,0,
350,OnBeat,Laser,2,
351,OnBeat,Laser,0,
351,OnBeat,Laser,1,
352,OnBeat,Laser,0,
352,OnBeat,Laser,2,
353,OnBeat,Laser,0,
353,OnBeat,Laser,1,
354,OnBeat,Laser,0,
354,OnBeat,Laser,2,
355,OnBeat,Laser,1,
355,OnBeat,Laser,2,
356,OnBeat,Laser,0,
356,OnBeat,Laser,2,
357,OnBeat,Laser,0,
357,OnBeat,Laser,1,
358,OnBeat,Laser,0,
358,OnBeat,Laser,2,
359,OnBeat,Laser,0,
359,OnBeat,Laser,2,
360,OnBeat,Laser,1,
360,OnBeat,Laser,2,
361,OnBeat,Laser,0,
361,OnBeat,Laser,2,
362,OnBeat,Laser,0,
362,OnBeat,Laser,1,
363,OnBeat,Laser,1,
363,OnBeat,Laser,2,
364,OnBeat,Laser,0,
364,OnBeat,Laser,1,
365,OnBeat,Bomb,0,
366,OnBeat,Laser,0,
366,OnBeat,Laser,2,
367,OnBeat,Laser,1,
368,OnBeat,Laser,0,
368,OnBeat,Laser,2,
369,OnBeat,Laser,1,
369,OnBeat,Laser,2,
370,OnBeat,Laser,0,
370,OnBeat,Laser,2,
371,OnBeat,Laser,0,
371,OnBeat,Laser,1,
372,OnBeat,Laser,0,
372,OnBeat,Laser,2,
373,OnBeat,Laser,1,
373,OnBeat,Laser,2,
374,OnBeat,Laser,0,
374,OnBeat,Laser,2,
375,OnBeat,Laser,0,
375,OnBeat,Laser,1,
376,OnBeat,Laser,0,
376,OnBeat,Laser,2,
377,OnBeat,Laser,0,
377,OnBeat,Laser,1,
378,OnBeat,Laser,0,
378,OnBeat,Laser,2,
379,OnBeat,Laser,1,
379,OnBeat,Laser,2,
380,OnBeat,Laser,1,
380,OnBeat,Laser,2,
381,OnBeat,Bomb,2,
382,OnBeat,Laser,0,
382,OnBeat,Laser,2,
383,OnBeat,Laser,1,
384,OnBeat,Laser,0,
384,OnBeat,Laser,2,
385,OnBeat,Laser,1,
385,OnBeat,Laser,2,
386,OnBeat,Laser,0,
386,OnBeat,Laser,2,
387,OnBeat,Laser,0,
387,OnBeat,Laser,1,
388,OnBeat,Laser,0,
388,OnBeat,Laser,2,
